jamon,score,v1,v2,v3
1,10,1985,59.7,2205
2,11,2855,55,2096
3,11,1737,65.6,1847
4,13,2905,61.4,1903
5,10,1666,66.1,1457
6,11,2927,61,1848
7,10,2341,66.1,1564
8,11,2737,58.9,2476
9,4,1414,57,2577
10,2,1838,58.9,2476
11,7,1480,68.5,1984
12,10,2191,59.2,1901
13,9,2229,58.8,1761
14,9,2204,58.6,1709
15,6,2140,59.2,1901
16,5,1730,54.4,2288
17,5,2072,49.6,2072
18,5,2929,54.3,2861
19,6,2268,58.7,2411
20,4,1983,51.7,2289
21,3,1792,61.9,2203
22,3,1606,52.7,2592
23,4,1492,57.8,2053
24,10,2835,59.7,1979
25,6,2416,54.9,2048
26,8,1638,65.3,1786
27,2,2649,43.8,2876
28,0,1503,53.5,2560
